OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,Longitude,Latitude
1,0.116357453189,0.0007823067885,Newark Airport,1,EWR,-74.184453,40.694996
2,0.43346966679,0.00486634037837,Jamaica Bay,2,Queens,-73.82337597,40.638987
3,0.0843411059012,0.000314414156821,Allerton/Pelham Gardens,3,Bronx,-73.84792614,40.8713422
4,0.0435665270921,0.000111871946192,Alphabet City,4,Manhattan,-73.97177411,40.7258213
5,0.0921464898574,0.000497957489363,Arden Heights,5,Staten Island,-74.17421738,40.5625681
6,0.150490542523,0.000606460984581,Arrochar/Fort Wadsworth,6,Staten Island,-74.06367319,40.6021982
7,0.107417171123,0.000389787989274,Astoria,7,Queens,-73.90413638,40.7675203
8,0.0275906911574,0.000026587716279,Astoria Park,8,Queens,-73.92334042,40.7751289
9,0.0997840924705,0.000338443803197,Auburndale,9,Queens,-73.78502435,40.7610365
10,0.0998394794152,0.000435823818081,Baisley Park,10,Queens,-73.78326625,40.6899943
11,0.0792110389596,0.00026452053504,Bath Beach,11,Brooklyn,-74.00109809,40.6030346
12,0.0366613013579,0.000041511623673,Battery Park,12,Manhattan,-74.01565757,40.7048331
13,0.0502813228631,0.000149358592917,Battery Park City,13,Manhattan,-74.01244109,40.7190577
14,0.175213698053,0.00138177826442,Bay Ridge,14,Brooklyn,-74.03407329,40.6443139
15,0.14433622262,0.000925219395547,Bay Terrace/Fort Totten,15,Queens,-73.77740391,40.7965982
16,0.141291873771,0.000871889446182,Bayside,16,Queens,-73.76857305,40.7791054
17,0.093522632948,0.000322957654799,Bedford,17,Brooklyn,-73.94306407,40.7014244
18,0.0697995498569,0.000148850163948,Bedford Park,18,Bronx,-73.88513908,40.8663829
19,0.101824875452,0.000546661094782,Bellerose,19,Queens,-73.72339596,40.7503891
20,0.0514401924362,0.000134512633032,Belmont,20,Bronx,-73.88386792,40.8642909
21,0.115973569062,0.000380251345507,Bensonhurst East,21,Brooklyn,-73.97418385,40.6094635
22,0.126170229196,0.000472062684608,Bensonhurst West,22,Brooklyn,-73.99254974,40.6242743
23,0.290556028962,0.00219556576201,Bloomfield/Emerson Hill,23,Staten Island,-74.19568609,40.6350169
24,0.0469999619287,0.000060723573775,Bloomingdale,24,Manhattan,-73.95953659,40.7987185
25,0.0471458199319,0.000124168267356,Boerum Hill,25,Brooklyn,-73.98155298,40.6891462
26,0.12354780707,0.000534039927626,Borough Park,26,Brooklyn,-73.98331628,40.6414787
27,0.202508808518,0.00134088762746,Breezy Point/Fort Tilden/Riis Beach,27,Queens,-73.86522555,40.5704585
28,0.097960782214,0.000291203927662,Briarwood/Jamaica Hills,28,Queens,-73.79240413,40.716193
29,0.0714083127733,0.000201673837402,Brighton Beach,29,Brooklyn,-73.96004799,40.5832699
30,0.0945097669793,0.000145862107626,Broad Channel,30,Queens,-73.82075892,40.6152327
31,0.0964245666516,0.000333975927329,Bronx Park,31,Bronx,-73.87094462,40.8572661
32,0.05426721601,0.000150879171971,Bronxdale,32,Bronx,-73.85882516,40.8580614
33,0.0532702931967,0.000147416802448,Brooklyn Heights,33,Brooklyn,-73.99619227,40.7033771
34,0.0657059323545,0.000173946146651,Brooklyn Navy Yard,34,Brooklyn,-73.97232032,40.7090829
35,0.085787918592,0.000323825195932,Brownsville,35,Brooklyn,-73.9010533,40.6621248
36,0.0870507867063,0.000247666139269,Bushwick North,36,Brooklyn,-73.91254914,40.7038734
37,0.142810040466,0.000452062644782,Bushwick South,37,Brooklyn,-73.93312549,40.7047009
38,0.0832175685234,0.000327392684821,Cambria Heights,38,Queens,-73.73624941,40.702537
39,0.132369620757,0.00090028293862,Canarsie,39,Brooklyn,-73.89121853,40.6499877
